sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
6797D,32138,22421,18902,3270,7521,2119,326
6804D,31945,22118,18708,3262,7536,2118,321
6805D,31968,22296,18845,3234,7440,2137,312
6809D,31910,22212,18801,3271,7445,2069,324
6811D,32219,22468,19004,3276,7521,2096,322
6815D,32163,22351,19058,3213,7496,2076,320
6816D,31924,22009,18926,3250,7429,2011,308
6817D,31883,21944,18952,3215,7297,2097,322
6818D,32478,22636,19299,3296,7426,2132,325
6819D,32096,22212,18892,3268,7524,2087,325
6822D,32970,23045,19557,3375,7557,2143,338
6824D,31724,22057,18691,3222,7439,2057,315
6825D,31967,22154,18779,3236,7479,2133,340
6826D,32342,22674,18947,3300,7661,2118,316
6827D,32270,22614,19011,3192,7554,2168,345
6828D,32251,22594,19054,3286,7490,2122,299
6829D,32303,22515,19074,3265,7528,2106,330
6832D,31992,22204,18862,3229,7476,2106,319
6833D,32457,22588,19056,3320,7603,2151,327
6834D,32465,22318,19132,3248,7604,2156,325
6835D,32143,22122,18870,3216,7582,2138,337
6836D,32685,22777,19205,3370,7601,2188,321
6837D,32571,22713,19100,3368,7599,2176,328
6838D,31896,22367,18769,3211,7495,2114,307
6839D,32091,22449,18892,3298,7463,2126,312
6840D,32404,22771,18973,3323,7634,2156,318
6842D,32434,22435,19061,3341,7563,2141,328
6843D,32446,22691,19117,3324,7543,2132,330
6844D,32481,22638,19125,3276,7554,2213,313
6845D,32325,22418,19008,3324,7509,2168,316
6846D,32394,22564,19048,3271,7571,2180,324
6847D,32271,22475,18952,3259,7620,2112,328
6849D,32471,22611,19063,3284,7640,2152,332
6851D,32353,22618,18969,3309,7608,2140,327
6852D,32346,22576,19075,3289,7545,2103,334
6853D,32520,22675,19180,3318,7546,2145,331
6855D,32270,22390,18929,3288,7589,2159,305
6856D,32388,22638,19018,3340,7570,2132,328
6857D,32467,22602,19143,3286,7533,2170,335
6858D,32489,22596,19024,3336,7634,2170,325
6859D,32089,22353,18941,3245,7489,2088,326
6863D,32681,22781,19165,3369,7674,2141,332
6864D,32604,22555,19190,3337,7590,2148,339
6865D,32322,22185,19102,3294,7493,2120,313
6878D,32319,22522,19095,3249,7558,2097,320
6879D,32134,22247,18991,3212,7430,2166,335
6880D,32429,22577,19115,3276,7552,2153,333
6881D,32453,22698,19155,3309,7507,2148,334
6882D,32328,22607,19027,3268,7594,2131,308
6883D,32356,22638,18992,3320,7575,2158,311
6889D,32624,22766,19126,3297,7659,2204,338
6890D,32619,22758,19199,3325,7617,2156,322
6891D,32401,22664,19064,3304,7550,2180,303
6892D,32048,22316,18950,3240,7410,2113,335
6893D,32600,22921,19168,3267,7677,2164,324
6894D,32486,22684,19130,3287,7604,2131,334
6895D,32678,22897,19125,3371,7692,2168,322
6896D,32443,22745,19119,3234,7573,2191,326
6897D,32603,22937,19137,3351,7591,2186,338
6903D,32504,22779,19172,3317,7588,2108,319
6904D,32559,22756,19123,3363,7585,2153,335
6905D,32670,22986,19216,3363,7576,2177,338
6906D,32573,22659,19146,3331,7601,2183,312
6907D,32699,22982,19151,3368,7693,2168,319
6910D,32326,22435,19014,3300,7528,2165,319
6911D,32512,22654,19163,3273,7593,2158,325
6912D,32382,22474,19046,3254,7619,2145,318
6913D,32137,22384,18895,3271,7513,2141,317
6914D,32430,22519,19048,3271,7598,2185,328
6917D,32365,22260,19022,3314,7506,2201,322
6918D,32549,22678,19128,3328,7628,2136,329
6919D,32344,22496,19019,3299,7529,2156,341
6920D,32223,22372,19035,3241,7504,2121,322
6921D,32157,22220,18978,3250,7517,2107,305
6922D,32734,22943,19222,3306,7696,2177,333
6923D,32217,22437,18959,3248,7518,2166,326
6924D,32489,22535,19119,3350,7527,2160,333
6925D,32226,22407,18897,3355,7526,2119,329
6926D,32431,22555,19106,3341,7564,2099,321
6927D,32668,23001,19171,3349,7663,2152,333
6792D,32561,22750,19154,3293,7579,2215,320
6793D,32811,23101,19292,3337,7690,2163,329
WGC086794,32400,22593,19049,3299,7560,2171,321
6795D,32541,22758,19121,3321,7597,2163,339
6796D,32569,22894,19168,3360,7571,2153,317
6798D,32651,22679,19223,3298,7646,2157,327
6799D,32682,22971,19189,3328,7622,2203,340
6800D,31751,20758,18701,3296,7343,2112,299
6801D,32576,22812,19180,3319,7611,2143,323
6802D,32567,22722,19153,3330,7612,2147,325
6807D,32570,22776,19049,3341,7648,2194,338
6808D,32490,22586,19059,3328,7597,2173,333
6810D,32585,22865,19167,3346,7609,2146,317
6812D,32728,23000,19133,3353,7739,2170,333
6813D,32556,22669,19111,3349,7589,2174,333
6814D,32303,22563,18950,3312,7549,2172,320
6886D,32586,22736,19073,3318,7652,2214,329
6887D,32540,22852,19166,3303,7566,2188,317
6888D,32212,22239,18898,3292,7565,2131,326
6898D,32499,22549,19083,3289,7635,2177,315
6899D,32358,22499,18971,3312,7625,2129,321
6901D,32533,22760,19116,3335,7629,2132,321
6902D,32192,22517,18967,3250,7489,2160,326
6928D,32043,22071,18761,3231,7592,2146,313
6939D,32466,22725,19136,3290,7553,2143,344
6956D,32678,23078,19101,3392,7718,2154,313
6958D,32642,22814,19111,3355,7667,2167,342
6968D,32539,22618,19092,3340,7617,2173,317
6969D,32696,23010,19168,3389,7627,2182,330
6990D,32471,22679,19107,3326,7547,2156,335
6991D,32974,23421,19460,3361,7670,2153,330
086596D,27184,18609,14831,3035,7019,2010,289
086598D,31317,21973,18106,3197,7570,2127,317
086599D,32021,22296,18660,3258,7591,2179,333
086600D,30707,21547,17673,3182,7403,2135,314
086601D,31262,21832,18076,3270,7454,2151,311
086604D,31246,21699,18030,3322,7486,2098,310
086606D,32670,22917,19160,3388,7637,2153,332
086620D,32353,22483,19002,3292,7603,2128,328
086627D,31526,21989,18232,3307,7524,2132,331
086639D,30223,21105,17315,3154,7311,2121,322
086643D,26124,18289,14224,2814,6800,1987,299
086656D,32011,22510,18764,3309,7478,2130,330
086661D,27701,19391,15405,2988,7027,1991,290
086671D,31648,21930,18474,3237,7491,2130,316
086672D,27401,19266,15165,2959,6965,2016,296
086784D,32040,22373,18745,3294,7545,2145,311
086785D,31954,22092,18681,3319,7559,2087,308
086786D,31874,20864,18772,3252,7398,2130,322
086787D,32477,22680,19105,3309,7591,2157,315
086830D,29316,20243,17106,3023,7004,1916,267
086831D,31187,21643,18277,3179,7361,2073,297
086929D,31895,21978,18770,3197,7502,2110,316
086930D,32435,22601,18947,3334,7633,2194,327
086931D,32410,22491,19060,3304,7590,2139,317
086932D,32436,22647,18970,3326,7618,2192,330
