sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
R18068049LD01-2052,32571,22686,19158,3323,7614,2152,324
R18068050LD01-2053,32485,22493,19039,3345,7593,2172,336
R18068051LD01-2054,32301,22339,18979,3304,7540,2155,323
R18068052LD01-2055,32297,22414,18999,3264,7551,2152,331
R18068053LD01-2056,32384,22368,18982,3341,7574,2178,309
R18068054LD01-2057,32229,22364,18888,3254,7606,2151,330
R18068055LD01-2058,32456,22674,19053,3326,7609,2148,320
R18068056LD01-2059,32425,22589,19097,3302,7542,2174,310
R18068057LD01-2060,32093,22274,18922,3230,7516,2106,319
R18068058LD01-2061,32506,22613,19148,3266,7617,2160,315
R18068059LD01-2062,32195,22275,18999,3237,7485,2153,321
R18068060LD01-2063,32271,22419,18949,3317,7552,2134,319
S10677_L2_376376,28437,19747,17492,2517,6150,1978,300
S10759_L2_377377,27878,19079,17280,2422,6006,1891,279
S15026863_L3_384384,27744,19254,17285,2371,5882,1921,285
S15031738_L3_385385,27025,18668,17012,2234,5679,1814,286
S15034147_L3_386386,29308,20152,17860,2641,6468,2036,303
S15034606_L3_387387,26880,18698,16911,2265,5617,1798,289
S15034834_L3_388388,26417,18412,16702,2116,5530,1792,277
S16000542_L3_383383,28195,19526,17341,2504,6139,1923,288
S16000543_L3_381381,27521,18994,17179,2274,5901,1882,285
S16007888_L2_378378,26281,18209,16511,2176,5550,1775,269
S16009155_L1L4_379379,25930,18023,16323,2166,5468,1704,269
S16017320_L3_382382,27872,19287,17370,2333,5941,1923,305
S16022558_L4_380380,28859,20029,17706,2574,6344,1933,302
S1904_L1_362362,27507,19142,17291,2297,5755,1890,274
S2576_L1_365365,29227,20173,17910,2577,6465,1966,309
S2646_L1_360360,27841,19363,17442,2372,5871,1866,290
S2952_L1_363363,26744,18709,17036,2226,5434,1776,272
S4476_L1_364364,26602,18398,17002,2178,5361,1802,259
S4929_L2_375375,27072,18690,16903,2292,5770,1846,261
S7021_L2_373373,26758,18589,16827,2207,5621,1839,264
S7070_L2_374374,27622,19123,17286,2366,5817,1872,281
S7198_L1L4_366366,28079,19546,17193,2443,6249,1919,275
S7340_L2_372372,28025,19495,17372,2461,6019,1887,286
S7792_L2_371371,29258,20291,17732,2622,6595,2012,297
S8817_L2_369369,29408,20401,17770,2690,6617,2034,297
S9228_L2_370370,29412,20356,17784,2709,6568,2041,310
S940_L1_359359,29539,20556,17767,2716,6703,2058,295
41412D,27351,18722,16025,2675,6623,1793,235
41415D,31056,22120,18192,3091,7416,2064,293
41418D,30531,21462,17862,3002,7341,2041,285
41425D,27812,19518,16374,2734,6741,1699,264
41426D,26951,18700,15980,2607,6372,1719,273
41428D,27467,18912,16215,2630,6623,1759,240
41429D,25828,17852,15230,2492,6287,1600,219
41431D,27936,19495,16518,2760,6672,1758,228
66570D,32212,22255,18890,3285,7555,2166,316
66573D,32042,22111,18792,3279,7501,2148,322
66577D,32273,22390,18986,3313,7503,2148,323
66580D,32121,22224,18863,3289,7526,2131,312
66581D,32449,22669,19032,3315,7595,2161,346
66582D,31920,21968,18735,3262,7468,2128,327
66583D,31591,22018,18486,3274,7456,2063,312
092082D,32294,22472,18987,3284,7543,2151,329
092083D,32390,22608,19024,3310,7612,2135,309
092084D,32469,22711,19144,3301,7570,2147,307
092085D,32630,22887,19166,3307,7643,2180,334
092086D,32329,22690,19015,3283,7532,2162,337
092087D,32671,22819,19128,3372,7652,2204,315
092088D,32485,22775,19119,3250,7631,2166,319
092089D,32632,22708,19159,3369,7606,2165,333
092090D,32452,22685,19075,3292,7624,2143,318
092091D,32664,22874,19175,3312,7666,2185,326
092092D,32420,22659,18999,3300,7636,2169,316
092093D,32341,22715,18975,3281,7616,2152,317
092094D,32638,22942,19200,3333,7621,2152,332
092095D,32503,22802,19104,3331,7619,2126,323
092096D,32432,22731,19049,3251,7642,2162,328
092097D,32304,22540,18980,3332,7496,2178,318
092098D,32721,22992,19237,3309,7669,2187,319
092099D,32539,22827,19130,3331,7592,2159,327
092100D,32691,22910,19188,3348,7660,2175,320
092101D,32620,22918,19149,3372,7589,2197,313
092102D,32394,22627,19023,3343,7563,2144,321
092103D,32750,22912,19224,3341,7688,2155,342
092104D,32642,22971,19167,3317,7602,2226,330
092105D,32317,21973,18970,3235,7622,2167,323
092106D,32319,22327,19037,3294,7487,2186,315
092107D,32488,22685,19103,3305,7581,2175,324
092108D,31783,21864,18670,3239,7496,2055,323
092109D,32421,22486,19094,3351,7518,2139,319
092110D,32519,22628,19101,3331,7576,2178,333
092111D,32190,22368,18856,3252,7603,2156,323
092112D,32404,22598,19079,3262,7617,2121,325
092113D,32176,22306,18939,3325,7484,2110,318
092114D,32253,22421,18909,3290,7583,2155,316
092115D,32336,22428,19039,3282,7571,2140,304
092116D,32309,22459,18980,3308,7565,2139,317
092117D,32377,22566,19008,3310,7528,2199,332
092118D,32024,22231,18789,3261,7540,2121,313
092119D,32118,22390,18779,3305,7586,2128,320
092120D,32139,22340,18873,3261,7538,2164,303
092121D,32521,22729,19062,3332,7607,2199,321
092122D,32388,22388,19051,3310,7542,2166,319
092123D,32487,22561,19084,3302,7607,2174,320
092124D,31928,22096,18777,3251,7482,2116,302
092125D,32323,22633,19008,3254,7578,2155,328
092126D,32829,23024,19252,3346,7659,2225,347
092127D,32749,23058,19225,3335,7663,2197,329
092128D,32372,22628,19112,3256,7492,2186,326
092129D,32138,22480,18866,3230,7567,2148,327
092130D,32186,22473,18789,3250,7665,2161,321
092131D,32121,22363,18865,3260,7535,2134,327
092132D,32302,22631,19032,3286,7572,2099,313
092133D,31468,21725,18391,3210,7505,2059,303
WGC094794D,32727,23066,19088,3339,7752,2227,321
WGC094795D,32541,22579,19021,3288,7773,2147,312
WGC094796D,32723,23134,19221,3299,7647,2220,336
WGC094797D,32897,23050,19273,3336,7725,2223,340
WGC094798D,31982,22063,18712,3268,7602,2111,289
WGC094799D,30481,21081,17679,3079,7375,2055,293
WGC094800D,30656,20362,17848,3145,7328,2029,306
WGC094801D,29418,20382,16953,3025,7234,1941,265
WGC094802D,31016,21655,17933,3204,7487,2091,301
WGC094803D,31421,21768,18134,3205,7625,2147,310
WGC094804D,31067,21785,17956,3178,7551,2090,292
WGC094805D,31497,21915,18388,3212,7515,2064,318
WGC094806DB,32378,22678,18946,3317,7611,2187,317
WGC094807D,32246,22609,18813,3327,7620,2164,322
WGC094808D,30326,20984,17515,3099,7387,2041,284
WGC094809D,28327,19577,16177,2952,7024,1913,261
WGC094810D,32405,22873,18949,3345,7665,2134,312
WGC094811D,31987,22465,18635,3288,7613,2138,313
WGC094812D,33000,23482,19306,3376,7811,2201,306
WGC094813D,32823,23342,19155,3334,7773,2249,312
WGC094814D,30912,21469,17913,3185,7413,2091,310
WGC094815DB,31074,21358,17997,3187,7452,2127,311
WGC094816D,28574,19933,16417,2911,7051,1912,283
WGC094817D,32299,22661,18891,3282,7634,2193,299
WGC094818D,32052,22604,18635,3294,7696,2131,296
WGC094819D,32101,22599,18751,3230,7680,2123,317
WGC094820D,32668,23082,18993,3365,7805,2191,314
WGC094821D,31062,21739,18116,3195,7385,2077,289
WGC094822D,31214,21846,18216,3217,7395,2083,303
WGC094823DB,32476,22795,19050,3303,7669,2148,306
WGC094824D,31908,22437,18565,3298,7544,2175,326
WGC094825D,31682,22465,18466,3173,7642,2074,327
WGC094826D,32420,22796,18964,3339,7665,2126,326
WGC094827D,31053,21600,18024,3216,7446,2067,300
WGC094828D,32144,22580,18763,3293,7574,2166,348
WGC094829D,30486,21203,17716,3166,7269,2058,277
WGC094830D,32555,23317,19008,3296,7741,2201,309
WGC094831DB,32811,23090,19133,3373,7765,2206,334
WGC094832D,32477,23121,18981,3312,7700,2147,337
WGC094833D,32038,22483,18685,3253,7651,2144,305
WGC094834D,30836,21583,18017,3143,7323,2062,291
WGC094835D,32507,22960,19102,3273,7648,2152,332
WGC094836D,32296,22691,18867,3340,7642,2148,299
WGC094837D,32636,23067,19093,3331,7698,2193,321
WGC094838D,32442,22935,19005,3304,7611,2194,328
WGC094839DB,32522,22788,18992,3291,7766,2165,308
WGC094840D,32340,22759,18943,3240,7677,2175,305
WGC094841D,32378,22732,18993,3306,7623,2141,315
WGC094842D,32351,22826,18884,3359,7632,2167,309
WGC094843D,32286,22698,18978,3263,7590,2147,308
WGC094844D,32824,23261,19188,3366,7749,2198,323
WGC094845D,31759,22149,18636,3203,7545,2057,318
WGC094846DB,32667,22837,19250,3299,7666,2142,310
WGC094847DB,32825,22800,19128,3407,7753,2208,329
WGC094848D,32685,23199,19086,3357,7699,2236,307
WGC094849D,32760,23260,19136,3355,7768,2170,331
WGC094850D,32224,22710,18895,3238,7615,2167,309
WGC094851D,32340,22789,18920,3279,7642,2183,316
WGC094852D,32108,22724,18827,3294,7529,2147,311
WGC094853D,32307,22856,18906,3337,7550,2182,332
WGC094854D,32034,22436,18816,3238,7518,2143,319
WGC094855DB,31781,21912,18643,3197,7524,2098,319
WGC094856D,32292,22755,18831,3293,7708,2134,326
WGC094857D,31734,22221,18387,3254,7614,2166,313
WGC094858D,32582,23013,19058,3344,7685,2164,331
WGC094859D,32437,22808,18964,3351,7616,2175,331
WGC094860D,32249,22582,18870,3280,7648,2138,313
WGC094861D,32090,22486,18807,3230,7653,2109,291
WGC094862DB,32909,23185,19372,3351,7675,2184,327
WGC094865DB,31779,21644,18768,3214,7424,2071,302
WGC094866DB,31970,21651,18914,3203,7462,2081,310
WGC094868D,32705,23116,19103,3341,7672,2243,346
WGC094871D,32555,22793,19022,3359,7684,2178,312
WGC094872DB,32558,22810,19111,3353,7577,2195,322
WGC094873D,32630,23096,19080,3358,7669,2199,324
WGC094874D,31382,21872,18328,3187,7533,2043,291
WGC094876D,32177,22513,18794,3297,7623,2142,321
WGC094878D,32272,22631,18790,3324,7666,2158,334
WGC094880D,32320,22726,18887,3337,7599,2181,316
WGC094881D,31311,21805,18203,3258,7442,2102,306
WGC094882D,30838,21276,17886,3131,7430,2085,306
WGC094883D,32420,22646,19004,3294,7614,2192,316
WGC094884D,32322,22536,18773,3337,7692,2191,329
WGC094885D,32766,23320,19145,3370,7727,2199,325
WGC094886D,32209,22547,18823,3248,7645,2180,313
WGC094887D,31800,22074,18522,3283,7549,2137,309
WGC094889D,32070,22426,18673,3269,7647,2166,315
WGC094890D,32069,22279,18773,3297,7523,2142,334
WGC094891,32515,22975,19093,3324,7611,2173,314
WGC094892,32690,23099,19152,3394,7655,2159,330
WGC094893,32027,22297,18786,3305,7510,2104,322
WGC094894,32792,23187,19164,3392,7683,2213,340
WGC094895,32770,23156,19211,3336,7693,2204,326
WGC094896,32940,23531,19332,3380,7690,2213,325
WGC094897,32717,23241,19101,3366,7719,2197,334
WGC094898D,32205,22384,18805,3318,7604,2162,316
WGC094899,32478,22907,19013,3307,7675,2169,314
WGC094900,32538,22923,19065,3301,7617,2232,323
WGC094901,32837,23343,19264,3346,7697,2214,316
WGC094902D,31831,22047,18655,3228,7543,2105,300
WGC094903,32708,23191,19129,3342,7748,2172,317
WGC094904D,32728,23066,19256,3396,7543,2225,308
WGC094905,32694,23046,19025,3353,7822,2179,315
WGC094906,32692,23063,19084,3340,7753,2188,327
WGC094907,32843,23541,19183,3369,7734,2212,345
WGC094908,32373,22935,18871,3327,7626,2223,326
WGC094909,32344,22857,18847,3308,7719,2153,317
WGC094910,32727,23222,19119,3358,7716,2211,323
WGC094911,32829,23396,19180,3368,7725,2219,337
WGC094912,32834,23071,19219,3367,7742,2169,337
WGC094913,32412,22740,19014,3308,7631,2134,325
WGC094914,32378,22550,18911,3302,7663,2179,323
WGC094915,32364,22524,18873,3270,7717,2177,327
WGC094916,32499,22725,19066,3333,7623,2157,320
WGC094917,32656,22913,18998,3405,7751,2188,314
WGC094918,31730,22163,18611,3255,7471,2084,309
WGC094919,32263,22668,18808,3331,7644,2151,329
WGC094920,31825,22080,18632,3235,7521,2125,312
WGC094921,32744,23105,19135,3336,7763,2177,333
WGC094922,32878,23143,19309,3362,7686,2194,327
WGC094923,32404,23270,19110,3289,7620,2092,293
WGC094929,32312,22938,18979,3242,7654,2143,294
WGC094930,32816,23188,19217,3381,7703,2201,314
WGC094931,32962,23356,19244,3379,7797,2213,329
WGC094932,32948,23288,19263,3347,7787,2219,332
WGC094933,32972,23305,19290,3345,7812,2192,333
WGC094936D,32832,23119,19315,3370,7652,2178,317
WGC094938D,32790,23362,19389,3318,7590,2166,327
WGC094939,32394,22724,19042,3309,7563,2161,319
WGC094948D,32991,23429,19407,3382,7658,2200,344
WGC094957DB,32295,22786,18921,3295,7629,2140,310
WGC094958DB,32409,22739,18911,3359,7637,2168,334
WGC094961DB,31770,20733,18686,3242,7422,2081,339
WGC094963D,32712,22977,19292,3252,7676,2168,324
WGC094964DB,31663,21973,18563,3228,7409,2144,319
WGC094965DB,32421,22699,18975,3292,7670,2163,321
WGC094966DB,32236,22563,18936,3297,7537,2137,329
WGC094969DB,32187,22538,18844,3301,7596,2123,323
WGC094970DB,32712,23045,19151,3382,7670,2187,322
WGC094971DB,32473,22936,19054,3318,7621,2142,338
WGC094972DB,32532,22883,19117,3336,7578,2172,329
WGC094973DB,32214,22539,18806,3253,7664,2167,324
WGC094974DB,32141,22383,18923,3296,7435,2161,326
WGC094976DB,32218,22635,18879,3370,7507,2147,315
WGC094977DB,32099,22315,18822,3314,7516,2125,322
WGC094978DB,32119,22460,18869,3278,7500,2159,313
WGC094979DB,32555,22812,19146,3312,7606,2156,335
WGC094982DB,31933,22124,18702,3267,7555,2087,322
WGC094984DB,32267,22604,18924,3301,7592,2139,311
WGC094985DB,32697,22986,19097,3389,7696,2176,339
WGC094986DB,32654,23137,19051,3366,7743,2180,314
WGC094987DB,32736,23053,19177,3347,7699,2176,337
WGC094988DB,32671,23091,19087,3375,7696,2187,326
WGC094989DB,32574,23082,19069,3272,7743,2149,341
WGC094990DB,32554,23117,19034,3344,7686,2147,343
WGC094991DB,32660,23012,19219,3321,7645,2144,331
WGC094995D,32620,22875,19077,3322,7713,2192,316
WGC094996D,31619,22090,18428,3227,7524,2119,321
WGC094997D,32359,22718,19007,3282,7582,2167,321
WGC094998D,31783,22130,18582,3257,7475,2150,319
WGC094999D,31378,21657,18215,3179,7542,2129,313
WGC095000D,32038,22321,18695,3295,7583,2148,317
WGC095001D,31546,21957,18485,3182,7487,2095,297
WGC095002D,32115,22477,18729,3265,7600,2186,335
WGC095003D,32166,22376,18875,3217,7622,2119,333
WGC095004D,31867,22299,18634,3235,7560,2104,334
WGC095005D,32462,22740,19046,3341,7613,2131,331
WGC095006D,31506,21903,18421,3248,7427,2088,322
WGC095007D,31757,22118,18457,3263,7584,2140,313
WGC095008D,32283,22517,18908,3266,7601,2186,322
WGC095009D,28370,19709,16381,2901,6953,1900,235
WGC095010D,31481,21839,18364,3229,7470,2109,309
WGC095011D,32517,22713,19086,3330,7652,2134,315
WGC095012D,31923,22079,18726,3229,7523,2118,327
WGC095014D,31846,22084,18651,3261,7559,2073,302
WGC095015D,32539,22742,19051,3343,7615,2199,331
WGC095016D,32371,22671,18920,3358,7616,2148,329
WGC095017D,32211,22415,18832,3323,7558,2182,316
WGC095018D,32352,22489,18847,3354,7609,2202,340
WGC095019D,32187,22624,18855,3227,7653,2135,317
WGC095020D,32511,22890,19132,3306,7585,2156,332
WGC095021D,32311,22488,18904,3278,7658,2135,336
WGC095022D,32412,22538,19013,3304,7633,2152,310
WGC095023D,32757,23061,19273,3337,7645,2175,327
WGC095024D,32603,22964,19097,3301,7648,2218,339
WGC095025D,32371,22793,18904,3312,7641,2182,332
WGC095026D,32174,22449,18910,3253,7539,2152,320
WGC095027D,31876,22316,18802,3222,7475,2076,301
WGC095028D,32501,22761,18987,3324,7690,2161,339
WGC095029D,32568,22625,19110,3293,7673,2153,339
WGC095030D,32548,22679,19042,3317,7711,2160,318
WGC095031D,32974,23643,19338,3356,7723,2235,322
WGC095032PD,31094,22019,18062,3194,7452,2106,280
WGC095033PD,31937,22374,18725,3234,7529,2127,322
WGC095034DB,32557,22873,19145,3295,7644,2171,302
WGC095035PD,32449,22918,18897,3337,7715,2157,343
WGC095036D,33225,23791,19658,3373,7676,2203,315
WGC095037PD,32549,22879,19061,3346,7668,2173,301
WGC095038D,31847,22073,18584,3265,7548,2137,313
WGC095040D,32323,22604,18906,3282,7618,2197,320
WGC095041D,32896,23148,19270,3377,7723,2191,335
WGC095042D,32513,22836,19099,3273,7601,2219,321
WGC095043D,32695,23050,19175,3292,7700,2217,311
WGC095044D,32772,23078,19257,3348,7620,2220,327
WGC095045D,32528,22858,19127,3316,7618,2160,307
WGC095046D,32817,23346,19235,3329,7750,2181,322
WGC095047D,32664,22964,19205,3277,7690,2160,332
WGC095048D,32893,23239,19223,3417,7720,2189,344
WGC095049D,31333,21693,18295,3207,7446,2071,314
WGC095050D,32718,23152,19197,3311,7656,2222,332
WGC095051D,32623,22766,19043,3338,7702,2198,342
WGC095052D,32413,22766,19050,3282,7587,2161,333
WGC095053D,32283,22525,18901,3293,7622,2145,322
WGC095054D,32257,22384,18965,3286,7557,2133,316
WGC095055D,32480,22618,19096,3286,7647,2141,310
WGC095056D,32071,22195,18793,3259,7589,2123,307
WGC095057PD,32398,22692,18998,3341,7608,2134,317
WGC095058PD,32265,22583,18881,3302,7587,2176,319
WGC095059PD,32825,23145,19221,3347,7729,2208,320
WGC095062PD,32616,22729,19112,3388,7619,2164,333
WGC095063PD,32414,22531,19062,3282,7636,2103,331
WGC095065D,32820,23606,19206,3342,7766,2175,331
WGC095067D,31387,21955,18402,3196,7442,2064,283
WGC095070D,32647,22903,19035,3371,7723,2192,326
WGC095071D,32724,23044,19202,3311,7678,2205,328
WGC095072D,32147,22496,18851,3267,7550,2165,314
WGC095073D,32537,22983,19134,3305,7574,2196,328
WGC095074D,32476,22842,19046,3296,7631,2176,327
WGC095075D,31850,22156,18674,3258,7516,2090,312
WGC095076D,32391,22694,19051,3251,7595,2155,339
WGC095079D,32681,22970,19087,3383,7666,2207,338
WGC095080D,32770,22933,19181,3339,7757,2179,314
WGC095081D,32128,21939,18717,3321,7590,2167,333
WGC095082D,32926,23330,19254,3384,7747,2228,313
WGC095083D,32587,22611,19051,3329,7670,2221,316
WGC095084D,32685,23143,19263,3317,7609,2175,321
WGC095085D,32573,22980,19063,3371,7688,2119,332
WGC095086D,32485,22841,19000,3332,7637,2198,318
WGC095087D,32639,22868,19063,3328,7700,2229,319
WGC095088D,32796,23295,19171,3351,7705,2239,330
WGC095089D,32610,22888,19049,3341,7711,2188,321
WGC095090D,32473,22720,19255,3289,7446,2164,319
WGC095091D,31334,21614,18401,3121,7401,2088,323
WGC095092D,32228,22164,18912,3243,7577,2173,323
WGC095093D,32773,23029,19132,3375,7690,2248,328
WGC095094D,32358,22648,18845,3307,7714,2173,319
WGC095095D,32429,22770,18990,3291,7653,2160,335
WGC095096D,31658,21545,18400,3217,7553,2164,324
WGC095097D,28645,19592,16481,2952,7053,1899,260
WGC095098D,31662,21734,18518,3219,7492,2119,314
WGC095099D,32099,22276,18841,3261,7533,2137,327
WGC095100D,32041,22364,18756,3298,7519,2145,323
WGC095101D,31955,22163,18673,3269,7556,2135,322
WGC095102D,31990,22135,18729,3242,7561,2131,327
WGC095103D,32427,22656,19015,3277,7618,2186,331
WGC095104D,31800,21475,18526,3258,7544,2150,322
WGC095105D,31519,21807,18296,3295,7526,2108,294
WGC094945,32678,23086,19144,3332,7687,2191,324
WGC094949,32566,22882,19057,3327,7649,2190,343
WGC094951,32719,23009,19237,3348,7623,2177,334
WGC094952,32657,23087,19064,3353,7685,2232,323
WGC094953,32444,22756,19050,3325,7597,2159,313
WGC094954,32705,23093,19202,3399,7603,2179,322
WGC094955,32718,23022,19141,3350,7708,2192,327
WGC094956,32708,23078,19170,3334,7699,2168,337
WGC101898D,32595,22864,19071,3289,7667,2212,356
WGC101901D,32361,22738,19037,3256,7570,2178,320
WGC101902D,32574,23212,19024,3367,7674,2188,321
WGC101903D,32403,22807,18917,3299,7697,2178,312
WGC101904D,31942,22258,18639,3266,7555,2167,315
WGC101905D,32551,22884,19046,3348,7691,2140,326
WGC101906D,31787,21640,18546,3228,7567,2119,327
WGC101907D,32316,22776,18974,3231,7598,2183,330
WGC101908D,32027,22598,18768,3274,7489,2167,329
WGC101909D,31884,22174,18620,3264,7565,2111,324
WGC101910D,32548,22812,19078,3370,7590,2180,330
WGC101911D,32556,22755,19077,3308,7655,2192,324
WGC101912D,32574,22913,19150,3321,7610,2171,322
WGC101913D,32567,22743,19142,3298,7626,2172,329
WGC101914D,32346,22660,18896,3277,7665,2190,318
WGC101915D,32703,23012,19184,3309,7628,2255,327
WGC101916D,32504,22839,19077,3286,7660,2151,330
WGC101917D,32218,22558,18867,3309,7536,2173,333
WGC101918D,32031,22386,18768,3213,7616,2133,301
WGC101919D,32339,22512,18942,3323,7612,2120,342
WGC101920D,32310,22584,18938,3325,7571,2155,321
WGC101921D,32041,22253,18777,3291,7530,2137,306
WGC101922D,32473,22568,18949,3339,7651,2200,334
WGC101923D,32270,22485,18964,3278,7556,2135,337
WGC101924D,32648,22919,19122,3330,7675,2210,311
WGC101926D,32079,22357,18603,3330,7649,2179,318
WGC101927D,32348,22610,18931,3284,7662,2174,297
WGC101928D,32487,22851,19043,3325,7591,2199,329
WGC101929D,32132,22440,18786,3284,7588,2155,319
WGC101930D,31399,21959,18235,3195,7572,2050,347
WGC101931D,32262,22600,18808,3323,7647,2164,320
WGC101932D,32125,22524,18678,3269,7670,2186,322
WGC101933D,32506,22801,19017,3278,7696,2188,327
WGC101934D,32583,22682,19151,3341,7617,2144,330
WGC101935D,32237,22412,19043,3280,7466,2137,311
WGC101936D,32536,22694,19135,3271,7597,2214,319
WGC101937D,32469,22538,18984,3387,7637,2153,308
WGC101938D,32847,23125,19276,3352,7703,2180,336
WGC101939D,32302,22488,18963,3277,7625,2133,304
WGC101940D,32415,22620,19073,3290,7581,2144,327
WGC101941D,32529,22552,19058,3328,7634,2152,357
WGC101942D,32548,22664,19121,3330,7605,2163,329
WGC101943D,32528,22751,19008,3330,7699,2173,318
WGC101944D,32585,22766,19136,3249,7717,2145,338
WGC101945D,32644,22873,19199,3275,7683,2160,327
WGC101946D,32413,22592,19026,3294,7600,2167,326
WGC101947D,32667,23017,19139,3313,7697,2192,326
WGC101948D,32848,23261,19138,3419,7748,2217,326
WGC101949D,32627,22920,19076,3318,7709,2185,339
WGC101950D,32694,22954,19122,3367,7780,2112,313
Sample_WGC107319D,30944,21410,18208,3141,7289,2013,293
Sample_WGC107617D,32403,22639,19127,3263,7518,2168,327
Sample_WGC107626D,32415,22459,19076,3334,7556,2126,323
Sample_WGC107627D,32593,22766,19141,3320,7626,2182,324
Sample_WGC107628D,32691,22769,19084,3398,7718,2167,324
Sample_WGC107629D,32517,22746,19086,3355,7577,2156,343
Sample_WGC107630D,32581,22814,19092,3361,7618,2187,323
Sample_WGC107631D,32682,22965,19147,3339,7688,2198,310
Sample_WGC107632D,32551,23095,19065,3313,7654,2203,316
Sample_WGC107633D,32552,22876,19189,3270,7615,2159,319
Sample_WGC107634D,32413,22678,19093,3255,7557,2168,340
Sample_WGC107635D,32415,22576,19010,3295,7580,2207,323
Sample_WGC107636D,32586,22787,19074,3369,7665,2143,335
Sample_WGC107637D,32202,22412,18909,3317,7556,2108,312
Sample_WGC107638D,32629,22734,19173,3264,7638,2212,342
Sample_WGC107639D,32499,22556,19006,3290,7649,2221,333
Sample_WGC107640D,32229,22219,18894,3297,7579,2147,312
Sample_WGC107641D,32566,22752,19102,3366,7649,2108,341
Sample_WGC107642D,32507,22697,19012,3297,7676,2195,327
Sample_WGC107643D,32570,22782,19082,3386,7594,2174,334
Sample_WGC107644D,32505,22591,19078,3315,7674,2123,315
Sample_WGC107645D,32323,22523,19023,3309,7554,2121,316
Sample_WGC107646D,32335,22539,18974,3279,7555,2195,332
Sample_WGC107647D,32408,22723,18999,3319,7614,2129,347
Sample_WGC107648D,32384,22469,19009,3313,7630,2092,340
Sample_WGC107649D,32825,22892,19168,3368,7727,2217,345
Sample_WGC107650D,32611,22883,19143,3380,7558,2179,351
Sample_WGC107651D,32518,22912,18964,3351,7674,2191,338
Sample_WGC107652D,32210,22475,18902,3261,7583,2125,339
Sample_WGC107653D,32454,22618,19033,3332,7596,2182,311
Sample_WGC107654D,32672,22827,19143,3341,7669,2189,330
Sample_WGC107655D,32283,22491,18866,3323,7633,2135,326
Sample_WGC107656D,32385,22756,19022,3251,7586,2195,331
Sample_WGC107657D,32546,22865,19048,3340,7640,2171,347
Sample_WGC107658D,32378,22465,18997,3263,7606,2188,324
Sample_WGC107659D,32485,22730,19031,3291,7685,2149,329
Sample_WGC107660D,32349,22538,18948,3315,7598,2176,312
Sample_WGC107661D,32363,22590,18947,3339,7630,2131,316
Sample_WGC107662D,32360,22462,19046,3318,7518,2160,318
Sample_WGC107663D,32287,22304,18981,3306,7523,2162,315
Sample_WGC107664D,32602,22774,19110,3391,7618,2144,339
Sample_WGC107665D,32195,22195,18946,3239,7550,2135,325
Sample_WGC108474D,32631,22691,19146,3306,7708,2125,346
Sample_WGC108475D,32350,22557,18922,3355,7598,2134,341
Sample_WGC108476D,32361,22643,18966,3307,7616,2150,322
WGC106832D,32069,22423,18740,3276,7548,2181,324
WGC106833D,32199,22311,18825,3317,7571,2157,329
WGC106834D,31970,22341,18660,3300,7561,2137,312
WGC106835D,32069,22453,18739,3320,7549,2147,314
WGC106836D,31948,22258,18725,3223,7550,2151,299
WGC106837D,32328,22677,18869,3333,7655,2140,331
WGC106838D,31960,22297,18745,3160,7557,2180,318
WGC106839D,31792,22103,18550,3242,7588,2094,318
WGC106840D,31635,22078,18414,3284,7513,2092,332
WGC106841D,32045,22347,18759,3284,7496,2168,338
WGC106842D,31770,22145,18629,3231,7498,2100,312
WGC106843D,31591,21780,18409,3305,7503,2073,301
WGC106844D,31337,21727,18249,3254,7435,2086,313
WGC106845D,32004,22326,18776,3330,7446,2120,332
WGC106846D,31851,22126,18618,3223,7503,2172,335
WGC106847D,31657,21895,18483,3219,7541,2097,317
WGC106848D,32175,22375,18782,3327,7606,2144,316
WGC106849D,32176,22486,18839,3284,7550,2172,331
WGC106850D,32152,22320,18786,3333,7516,2197,320
WGC106851D,31334,22024,18257,3265,7364,2122,326
WGC106852D,31887,22254,18605,3319,7557,2077,329
WGC106853D,32476,22885,18970,3365,7616,2194,331
WGC106854D,32215,22524,18859,3309,7557,2158,332
WGC106855D,31872,22381,18533,3348,7538,2133,320
WGC106856D,31006,21677,18140,3144,7339,2081,302
WGC106857D,31889,22182,18650,3249,7561,2107,322
WGC106858D,30273,20987,17554,3092,7298,2037,292
WGC106859D,32438,22748,19087,3328,7510,2173,340
WGC106860D,32433,22721,19025,3333,7557,2194,324
WGC106861D,32550,22794,18996,3353,7670,2192,339
WGC106862D,32372,22737,19033,3334,7552,2147,306
WGC106863D,32167,22470,18869,3278,7554,2136,330
WGC106864D,31517,21942,18438,3238,7462,2054,325
WGC106865D,32306,22675,18984,3296,7565,2143,318
WGC106866D,32120,22462,18781,3275,7592,2157,315
WGC106867D,32375,22387,19019,3299,7621,2127,309
WGC106868D,30585,21282,17951,3075,7212,2046,301
WGC106869D,31767,22228,18536,3267,7535,2108,321
WGC106870D,31384,21875,18219,3288,7444,2109,324
WGC106871D,30829,21426,17891,3178,7371,2068,321
WGC106873D,31437,21904,18340,3222,7445,2129,301
WGC106874D,31440,21919,18260,3262,7463,2119,336
WGC106875D,32313,22695,18897,3328,7623,2150,315
WGC106876D,31571,22211,18415,3277,7493,2067,319
WGC106877D,31668,22131,18483,3231,7511,2121,322
WGC106878D,32328,22652,18943,3335,7597,2139,314
